,dst_port,protocol,length,Dst_ip_range,Direction,Class
0,d-0,p-ICMP,l-2,r-PRIVATE,x-OUT,c-CNC_COM
1,d-0,p-ICMP,l-2,r-PRIVATE,x-OUT,c-CNC_COM
2,d-0,p-ICMP,l-2,r-PRIVATE,x-OUT,c-CNC_COM
3,d-0,p-ICMP,l-2,r-PRIVATE,x-OUT,c-CNC_COM
4,d-0,p-ICMP,l-2,r-PRIVATE,x-OUT,c-CNC_COM
5,d-0,p-ICMP,l-2,r-PRIVATE,x-OUT,c-CNC_COM
6,d-0,p-ICMP,l-2,r-PRIVATE,x-OUT,c-CNC_COM
7,d-0,p-ICMP,l-2,r-PRIVATE,x-OUT,c-CNC_COM
8,d-0,p-ICMP,l-2,r-PRIVATE,x-OUT,c-CNC_COM
9,d-0,p-ICMP,l-2,r-PRIVATE,x-OUT,c-CNC_COM
10,d-0,p-ICMP,l-2,r-PRIVATE,x-OUT,c-CNC_COM
11,d-0,p-ICMP,l-2,r-PRIVATE,x-OUT,c-CNC_COM
12,d-0,p-ICMP,l-2,r-PRIVATE,x-OUT,c-CNC_COM
13,d-0,p-ICMP,l-2,r-PRIVATE,x-OUT,c-CNC_COM
14,d-0,p-ICMP,l-2,r-PRIVATE,x-OUT,c-CNC_COM
15,d-0,p-ICMP,l-2,r-PRIVATE,x-OUT,c-CNC_COM
16,d-0,p-ICMP,l-2,r-PRIVATE,x-OUT,c-CNC_COM
17,d-0,p-ICMP,l-2,r-PRIVATE,x-OUT,c-CNC_COM
18,d-0,p-ICMP,l-2,r-PRIVATE,x-OUT,c-CNC_COM
19,d-0,p-ICMP,l-2,r-PRIVATE,x-OUT,c-CNC_COM
20,d-0,p-ICMP,l-2,r-PRIVATE,x-OUT,c-CNC_COM
21,d-0,p-ICMP,l-2,r-PRIVATE,x-OUT,c-CNC_COM
22,d-0,p-ICMP,l-2,r-PRIVATE,x-OUT,c-CNC_COM
23,d-0,p-ICMP,l-2,r-PRIVATE,x-OUT,c-CNC_COM
24,d-0,p-ICMP,l-2,r-PRIVATE,x-OUT,c-CNC_COM
25,d-0,p-ICMP,l-2,r-PRIVATE,x-OUT,c-CNC_COM
26,d-0,p-ICMP,l-2,r-PRIVATE,x-OUT,c-CNC_COM
27,d-0,p-ICMP,l-2,r-PRIVATE,x-OUT,c-CNC_COM
28,d-0,p-ICMP,l-2,r-PRIVATE,x-OUT,c-CNC_COM
29,d-0,p-ICMP,l-2,r-PRIVATE,x-OUT,c-CNC_COM
30,d-0,p-ICMP,l-2,r-PRIVATE,x-OUT,c-CNC_COM
31,d-0,p-ICMP,l-2,r-PRIVATE,x-OUT,c-CNC_COM
32,d-0,p-ICMP,l-2,r-PRIVATE,x-OUT,c-CNC_COM
33,d-0,p-ICMP,l-2,r-PRIVATE,x-OUT,c-CNC_COM
34,d-0,p-ICMP,l-2,r-PRIVATE,x-OUT,c-CNC_COM
35,d-0,p-ICMP,l-2,r-PRIVATE,x-OUT,c-CNC_COM
36,d-0,p-ICMP,l-2,r-PRIVATE,x-OUT,c-CNC_COM
37,d-0,p-ICMP,l-2,r-PRIVATE,x-OUT,c-CNC_COM
38,d-0,p-ICMP,l-2,r-PRIVATE,x-OUT,c-CNC_COM
39,d-0,p-ICMP,l-2,r-PRIVATE,x-OUT,c-CNC_COM
40,d-0,p-ICMP,l-2,r-PRIVATE,x-OUT,c-CNC_COM
41,d-0,p-ICMP,l-2,r-PRIVATE,x-OUT,c-CNC_COM
42,d-0,p-ICMP,l-2,r-PRIVATE,x-OUT,c-CNC_COM
43,d-0,p-ICMP,l-2,r-PRIVATE,x-OUT,c-CNC_COM
44,d-0,p-ICMP,l-2,r-PRIVATE,x-OUT,c-CNC_COM
45,d-0,p-ICMP,l-2,r-PRIVATE,x-OUT,c-CNC_COM
46,d-0,p-ICMP,l-2,r-PRIVATE,x-OUT,c-CNC_COM
47,d-0,p-ICMP,l-2,r-PRIVATE,x-OUT,c-CNC_COM
48,d-0,p-ICMP,l-2,r-PRIVATE,x-OUT,c-CNC_COM
49,d-0,p-ICMP,l-2,r-PRIVATE,x-OUT,c-CNC_COM
50,d-0,p-ICMP,l-2,r-PRIVATE,x-OUT,c-CNC_COM
51,d-0,p-ICMP,l-2,r-PRIVATE,x-OUT,c-CNC_COM
52,d-0,p-ICMP,l-2,r-PRIVATE,x-OUT,c-CNC_COM
53,d-0,p-ICMP,l-2,r-PRIVATE,x-OUT,c-CNC_COM
54,d-0,p-ICMP,l-2,r-PRIVATE,x-OUT,c-CNC_COM
55,d-0,p-ICMP,l-2,r-PRIVATE,x-OUT,c-CNC_COM
