,,,,,,1,2,3,4,5,6
c-CNC_COM,,,,,,,,,,,
d-0,,,,,,,,,,,
p-ICMP,,,,,,,,,,,
x-OUT,,,,,,,,,,,
r-PRIVATE,,,,,,,,,,,
l-2,,,,,,,,,,,
p-TCP,,,,,,,,,,,
c-NaN,,,,,,,,,,,
d-60476,,,,,,,,,,,
d-22,,,,,,,,,,,
d-80,,,,,,,,,,,
d-60477,,,,,,,,,,,
d-21,,,,,,,,,,,
d-60478,,,,,,,,,,,
c-SCAN,,,,,,,,,,,
d-47042,,,,,,,,,,,
c-LOGIN,,,,,,,,,,,
p-SSH,,,,,,,,,,,
d-57286,,,,,,,,,,,
d-57288,,,,,,,,,,,
d-57290,,,,,,,,,,,
d-57292,,,,,,,,,,,
d-57294,,,,,,,,,,,
p-SSHv2,,,,,,,,,,,
d-57296,,,,,,,,,,,
d-57298,,,,,,,,,,,
d-57300,,,,,,,,,,,
d-57302,,,,,,,,,,,
d-57304,,,,,,,,,,,
d-57308,,,,,,,,,,,
d-57310,,,,,,,,,,,
d-57312,,,,,,,,,,,
d-57314,,,,,,,,,,,
d-57322,,,,,,,,,,,
d-57324,,,,,,,,,,,
d-57326,,,,,,,,,,,
d-57328,,,,,,,,,,,
d-57330,,,,,,,,,,,
d-57332,,,,,,,,,,,
d-57340,,,,,,,,,,,
d-57344,,,,,,,,,,,
d-57348,,,,,,,,,,,
d-57350,,,,,,,,,,,
d-57352,,,,,,,,,,,
d-57356,,,,,,,,,,,
d-57358,,,,,,,,,,,
d-57360,,,,,,,,,,,
d-57362,,,,,,,,,,,
d-57364,,,,,,,,,,,
d-57366,,,,,,,,,,,
d-57370,,,,,,,,,,,
d-57372,,,,,,,,,,,
d-57378,,,,,,,,,,,
d-57380,,,,,,,,,,,
d-57386,,,,,,,,,,,
d-57390,,,,,,,,,,,
d-57392,,,,,,,,,,,
d-57398,,,,,,,,,,,
d-57400,,,,,,,,,,,
d-57402,,,,,,,,,,,
d-57404,,,,,,,,,,,
d-57408,,,,,,,,,,,
d-57412,,,,,,,,,,,
d-57416,,,,,,,,,,,
d-57418,,,,,,,,,,,
d-57420,,,,,,,,,,,
d-57422,,,,,,,,,,,
d-57424,,,,,,,,,,,
d-57426,,,,,,,,,,,
d-57428,,,,,,,,,,,
d-57434,,,,,,,,,,,
d-57436,,,,,,,,,,,
d-57438,,,,,,,,,,,
d-57440,,,,,,,,,,,
d-57442,,,,,,,,,,,
d-57444,,,,,,,,,,,
d-57446,,,,,,,,,,,
d-57448,,,,,,,,,,,
d-60732,,,,,,,,,,,
d-60733,,,,,,,,,,,
d-60734,,,,,,,,,,,
d-57452,,,,,,,,,,,
d-57454,,,,,,,,,,,
d-57456,,,,,,,,,,,
d-57462,,,,,,,,,,,
d-57464,,,,,,,,,,,
d-57468,,,,,,,,,,,
d-57470,,,,,,,,,,,
d-57474,,,,,,,,,,,
d-57476,,,,,,,,,,,
d-57478,,,,,,,,,,,
d-57480,,,,,,,,,,,
d-57482,,,,,,,,,,,
d-57484,,,,,,,,,,,
d-57488,,,,,,,,,,,
d-57492,,,,,,,,,,,
d-57500,,,,,,,,,,,
d-57502,,,,,,,,,,,
d-57504,,,,,,,,,,,
d-57506,,,,,,,,,,,
d-57508,,,,,,,,,,,
d-57510,,,,,,,,,,,
d-57514,,,,,,,,,,,
d-57516,,,,,,,,,,,
d-57518,,,,,,,,,,,
d-57520,,,,,,,,,,,
d-57524,,,,,,,,,,,
d-57528,,,,,,,,,,,
d-57530,,,,,,,,,,,
d-57532,,,,,,,,,,,
d-57534,,,,,,,,,,,
d-57536,,,,,,,,,,,
d-57538,,,,,,,,,,,
d-57540,,,,,,,,,,,
d-57542,,,,,,,,,,,
d-57544,,,,,,,,,,,
d-57546,,,,,,,,,,,
d-57554,,,,,,,,,,,
d-57558,,,,,,,,,,,
d-57560,,,,,,,,,,,
d-57566,,,,,,,,,,,
d-57568,,,,,,,,,,,
d-57574,,,,,,,,,,,
d-57578,,,,,,,,,,,
d-57580,,,,,,,,,,,
d-57582,,,,,,,,,,,
d-57584,,,,,,,,,,,
d-57586,,,,,,,,,,,
d-57590,,,,,,,,,,,
d-57598,,,,,,,,,,,
c-MAL_DOWN,,,,,,,,,,,
d-36716,,,,,,,,,,,
p-FTP,,,,,,,,,,,
d-7000,,,,,,,,,,,
d-54847,,,,,,,,,,,
d-56252,,,,,,,,,,,
d-56258,,,,,,,,,,,
d-56260,,,,,,,,,,,
d-56262,,,,,,,,,,,
d-56264,,,,,,,,,,,
d-56266,,,,,,,,,,,
d-56268,,,,,,,,,,,
d-56272,,,,,,,,,,,
d-56270,,,,,,,,,,,
d-56274,,,,,,,,,,,
d-56276,,,,,,,,,,,
d-56278,,,,,,,,,,,
d-56284,,,,,,,,,,,
d-56288,,,,,,,,,,,
d-56290,,,,,,,,,,,
d-56292,,,,,,,,,,,
d-56294,,,,,,,,,,,
d-56296,,,,,,,,,,,
d-56300,,,,,,,,,,,
d-56302,,,,,,,,,,,
d-56304,,,,,,,,,,,
d-56306,,,,,,,,,,,
d-56308,,,,,,,,,,,
d-56312,,,,,,,,,,,
d-56314,,,,,,,,,,,
d-56318,,,,,,,,,,,
d-56320,,,,,,,,,,,
d-56326,,,,,,,,,,,
d-56328,,,,,,,,,,,
d-56332,,,,,,,,,,,
d-56334,,,,,,,,,,,
d-56336,,,,,,,,,,,
d-56338,,,,,,,,,,,
d-56340,,,,,,,,,,,
d-56344,,,,,,,,,,,
d-56346,,,,,,,,,,,
d-56350,,,,,,,,,,,
d-56352,,,,,,,,,,,
d-56356,,,,,,,,,,,
d-56358,,,,,,,,,,,
d-56362,,,,,,,,,,,
d-56364,,,,,,,,,,,
d-56370,,,,,,,,,,,
d-56372,,,,,,,,,,,
d-56378,,,,,,,,,,,
d-56380,,,,,,,,,,,
d-56390,,,,,,,,,,,
d-56392,,,,,,,,,,,
d-56394,,,,,,,,,,,
d-56396,,,,,,,,,,,
d-56398,,,,,,,,,,,
d-56400,,,,,,,,,,,
d-56402,,,,,,,,,,,
d-56404,,,,,,,,,,,
d-56406,,,,,,,,,,,
d-56408,,,,,,,,,,,
d-56410,,,,,,,,,,,
d-56412,,,,,,,,,,,
d-56414,,,,,,,,,,,
d-56416,,,,,,,,,,,
d-56418,,,,,,,,,,,
d-56420,,,,,,,,,,,
d-56422,,,,,,,,,,,
d-56424,,,,,,,,,,,
d-56428,,,,,,,,,,,
d-56436,,,,,,,,,,,
d-56440,,,,,,,,,,,
d-56444,,,,,,,,,,,
d-56450,,,,,,,,,,,
d-56452,,,,,,,,,,,
d-56456,,,,,,,,,,,
d-56458,,,,,,,,,,,
d-56462,,,,,,,,,,,
d-56466,,,,,,,,,,,
d-56468,,,,,,,,,,,
d-56470,,,,,,,,,,,
d-56472,,,,,,,,,,,
d-56480,,,,,,,,,,,
d-56482,,,,,,,,,,,
d-56484,,,,,,,,,,,
d-56486,,,,,,,,,,,
d-56488,,,,,,,,,,,
d-56490,,,,,,,,,,,
c-DDOS,,,,,,,,,,,
d-50955,,,,,,,,,,,
d-50956,,,,,,,,,,,
d-50957,,,,,,,,,,,
d-50958,,,,,,,,,,,
d-50959,,,,,,,,,,,
d-50960,,,,,,,,,,,
d-50961,,,,,,,,,,,
d-50962,,,,,,,,,,,
d-50963,,,,,,,,,,,
d-50964,,,,,,,,,,,
d-50965,,,,,,,,,,,
d-50966,,,,,,,,,,,
d-50967,,,,,,,,,,,
d-50968,,,,,,,,,,,
d-50969,,,,,,,,,,,
d-50970,,,,,,,,,,,
d-50971,,,,,,,,,,,
d-50972,,,,,,,,,,,
d-50973,,,,,,,,,,,
d-50974,,,,,,,,,,,
d-50975,,,,,,,,,,,
d-50976,,,,,,,,,,,
d-50977,,,,,,,,,,,
d-50978,,,,,,,,,,,
d-50979,,,,,,,,,,,
d-50980,,,,,,,,,,,
d-50981,,,,,,,,,,,
d-50982,,,,,,,,,,,
d-50983,,,,,,,,,,,
d-50984,,,,,,,,,,,
d-50985,,,,,,,,,,,
d-50986,,,,,,,,,,,
d-50987,,,,,,,,,,,
d-50988,,,,,,,,,,,
d-50989,,,,,,,,,,,
d-50990,,,,,,,,,,,
d-50991,,,,,,,,,,,
d-50992,,,,,,,,,,,
d-50993,,,,,,,,,,,
d-50994,,,,,,,,,,,
d-50995,,,,,,,,,,,
d-50996,,,,,,,,,,,
d-50997,,,,,,,,,,,
d-50998,,,,,,,,,,,
d-50999,,,,,,,,,,,
d-51000,,,,,,,,,,,
d-51001,,,,,,,,,,,
d-51002,,,,,,,,,,,
d-51003,,,,,,,,,,,
d-51004,,,,,,,,,,,
d-51005,,,,,,,,,,,
d-51006,,,,,,,,,,,
d-51007,,,,,,,,,,,
d-51008,,,,,,,,,,,
d-51009,,,,,,,,,,,
d-51010,,,,,,,,,,,
d-51011,,,,,,,,,,,
d-51012,,,,,,,,,,,
d-51013,,,,,,,,,,,
d-51014,,,,,,,,,,,
d-51015,,,,,,,,,,,
d-51016,,,,,,,,,,,
d-51017,,,,,,,,,,,
d-51018,,,,,,,,,,,
d-51019,,,,,,,,,,,
d-51020,,,,,,,,,,,
d-51021,,,,,,,,,,,
d-51022,,,,,,,,,,,
d-51023,,,,,,,,,,,
d-51024,,,,,,,,,,,
d-51025,,,,,,,,,,,
d-51026,,,,,,,,,,,
d-51027,,,,,,,,,,,
d-51028,,,,,,,,,,,
d-51029,,,,,,,,,,,
d-51030,,,,,,,,,,,
d-51031,,,,,,,,,,,
d-51032,,,,,,,,,,,
d-51033,,,,,,,,,,,
d-51034,,,,,,,,,,,
d-51035,,,,,,,,,,,
d-51036,,,,,,,,,,,
d-51037,,,,,,,,,,,
d-51038,,,,,,,,,,,
d-51039,,,,,,,,,,,
d-51040,,,,,,,,,,,
d-51041,,,,,,,,,,,
d-51042,,,,,,,,,,,
d-51043,,,,,,,,,,,
d-51044,,,,,,,,,,,
d-51045,,,,,,,,,,,
d-51046,,,,,,,,,,,
d-51047,,,,,,,,,,,
d-51048,,,,,,,,,,,
d-51049,,,,,,,,,,,
d-51050,,,,,,,,,,,
d-51051,,,,,,,,,,,
d-51052,,,,,,,,,,,
d-51053,,,,,,,,,,,
d-51054,,,,,,,,,,,
d-51055,,,,,,,,,,,
d-51056,,,,,,,,,,,
d-51057,,,,,,,,,,,
d-51058,,,,,,,,,,,
d-51059,,,,,,,,,,,
d-51060,,,,,,,,,,,
d-51061,,,,,,,,,,,
d-51062,,,,,,,,,,,
d-51063,,,,,,,,,,,
d-51064,,,,,,,,,,,
d-51065,,,,,,,,,,,
d-51066,,,,,,,,,,,
d-51067,,,,,,,,,,,
d-51068,,,,,,,,,,,
d-51069,,,,,,,,,,,
d-51070,,,,,,,,,,,
d-51071,,,,,,,,,,,
d-51072,,,,,,,,,,,
d-51073,,,,,,,,,,,
d-51074,,,,,,,,,,,
d-51075,,,,,,,,,,,
d-51076,,,,,,,,,,,
d-51077,,,,,,,,,,,
d-51078,,,,,,,,,,,
d-51079,,,,,,,,,,,
d-51080,,,,,,,,,,,
d-51081,,,,,,,,,,,
d-51082,,,,,,,,,,,
d-51083,,,,,,,,,,,
